# legalhist.whitelist candidates for OCR-corrupted reporter abbreviations (issue #247)
# source: moml_citations.citations_unlinked, spellings not in the whitelist with at least 20 rows, 2026-09-05
# 64189 such spellings, 6620354 rows
# rules: digit (a letter-flanked digit removed), confusion (one OCR letter confusion from
# ocrConfusions in go/citations/ocrvariant.go), digit_letter (a letter-flanked digit read as
# some letter; reported for review only, never seeded). Every corrected spelling is an exact
# entry of the whitelist as it stood when this ran; nothing is normalized. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the corrected spelling is itself a reporter in legalhist.reporters,
# and "via-variant" when it is another whitelist variant that maps onward, in which case the
# proposal inherits that entry's looseness. A spelling whose readings reach more than one reporter
# is AMBIGUOUS when the runner-up's spellings are at least 10%% as frequent in the corpus as the
# winner's; TOJUNK when every reading lands on a junk entry; UNRESOLVED when none is whitelisted.
#
# count	reporter_found	corrected	reporter_standard	rule	confidence	example
#UNRESOLVED	833	"L. J. Ci."	"00 L. J. Ci. 00"
#UNRESOLVED	833	"Mooro"	"069 Mooro 7"
#UNRESOLVED	832	"L. J. Bky."	"10 L. J. Bky. 51"
#UNRESOLVED	832	"Sil."	"00 Sil. 17"
#UNRESOLVED	831	"Fortesc."	"1 Fortesc. 157"
#UNRESOLVED	830	"B. &A."	"0 B. &A. 405"
#UNRESOLVED	830	"Gen."	"0 Gen. 1"
#UNRESOLVED	830	"H. VIll. c."	"07 H. VIll. c. 16"
#UNRESOLVED	830	"Jones on Bailm."	"0 Jones on Bailm. 04"
#UNRESOLVED	829	"L ."	"00 L . 1"
#UNRESOLVED	829	"Wins. Exrs."	"11 Wins. Exrs. 625"
#UNRESOLVED	828	"Bla."	"10 Bla. 9"
#UNRESOLVED	828	"Carty"	"142\n\t\t\tCarty, 40"
#UNRESOLVED	827	"B. W."	"00 B. W. 872"
#UNRESOLVED	827	"Eap."	"0 Eap. 10"
#UNRESOLVED	827	"Owen."	"091 Owen. 122"
#UNRESOLVED	827	"W. . ."	"0 W. . . 168"
#UNRESOLVED	825	"Idem"	"025 Idem, 204"
#UNRESOLVED	824	"Alp."	"02 Alp. 1"
#UNRESOLVED	824	"Blackf. Corn."	"1 Blackf. Corn. 107"
#UNRESOLVED	824	"Burness"	"1 Burness, 723"
#UNRESOLVED	824	"Davis)"	"0 Davis) 72"
#UNRESOLVED	824	"Gowan"	"159 Gowan, 15"
#UNRESOLVED	824	"I.. R. A."	"00 I.. R. A. 321"
#UNRESOLVED	824	"Q. It."	"04 Q. It. 488"
#UNRESOLVED	822	"Dowl. N. C."	"0 Dowl. N. C. 745"
#UNRESOLVED	821	"Cox Crim. Cas."	"0 Cox Crim. Cas. 432"
#UNRESOLVED	821	"L J. C. P."	"0 L J. C. P. 195"
#UNRESOLVED	821	"Law Bull."	"12 Law Bull. 104"
#UNRESOLVED	821	"Salkeld"	"058 Salkeld, 406"
#UNRESOLVED	821	"Westmeath"	"109 Westmeath, 21"
#UNRESOLVED	821	"Wins"	"17 Wins, 251"
#UNRESOLVED	819	"Black. R."	"112 Black. R. 1052"
#UNRESOLVED	819	"Dep. Rep."	"0 Dep. Rep. 751"
#UNRESOLVED	819	"Jac. c."	"11 Jac. c. 8"
#UNRESOLVED	819	"Pao."	"00 Pao. 10"
#UNRESOLVED	819	"Q.."	"04 Q.. 6136"
#UNRESOLVED	819	"nd."	"009 nd. 179"
#UNRESOLVED	818	"Eq. at p."	"10 Eq. at p. 122"
#UNRESOLVED	818	"Hogan"	"17 Hogan, 1"
#UNRESOLVED	817	"Sm. Laws"	"10 Sm. Laws 455"
#UNRESOLVED	815	"C. D. p."	"0 C. D. p. 477"
#UNRESOLVED	815	"Cr., M. & R."	"1 Cr., M. & R. 108"
#UNRESOLVED	815	"W. RI."	"0 W. RI. 355"
#UNRESOLVED	814	"A. c."	"091 A. c. 427"
#UNRESOLVED	814	"Danville"	"0 Danville, 11"
#UNRESOLVED	814	"From"	"000 From 1553"
#UNRESOLVED	814	"Mee. & Wels."	"10 Mee. & Wels. 008"
#UNRESOLVED	814	"O. D."	"00 O. D. 646"
#UNRESOLVED	814	"Woolw."	"104 Woolw. 26"
#UNRESOLVED	813	"Pars. Notes & B."	"011 Pars. Notes & B. 361"
#UNRESOLVED	812	"Amer. Dec."	"00 Amer. Dec. 630"
#UNRESOLVED	812	"Eng. L. & Eq. R."	"10 Eng. L. & Eq. R. 11"
#UNRESOLVED	811	"Johns. Cha. Rep."	"176 Johns. Cha. Rep. 197"
#UNRESOLVED	811	"costs"	"001 costs, 1006"
#UNRESOLVED	810	"Buck"	"10 Buck, 235"
#UNRESOLVED	810	"Wood."	"002 Wood.\n\t\t\t19"
#UNRESOLVED	809	"Do G."	"0 Do G. 3"
#UNRESOLVED	808	"II. & M."	"12 II. & M. 196"
#UNRESOLVED	807	"L. R. A. (N."	"0 L. R. A. (N. 1"
#UNRESOLVED	807	"Russ. C. & M."	"1 Russ. C. & M. 076"
#UNRESOLVED	806	"Dowl"	"0 Dowl 109"
#UNRESOLVED	806	"Harder"	"15 Harder, 108"
#UNRESOLVED	806	"Park, Ins."	"112 Park, Ins. 639"
#UNRESOLVED	805	"L.R."	"025 L.R., 12"
#UNRESOLVED	803	"Alarch"	"10 Alarch, 1883"
#UNRESOLVED	803	"C ."	"00 C . 1"
#UNRESOLVED	803	"U."	"00 U. , 509"
#UNRESOLVED	802	"L.T. (N.S.)"	"00 L.T. (N.S.) 152"
#UNRESOLVED	802	"Littlewood"	"200 Littlewood, 141"
#UNRESOLVED	801	"Younge & J."	"1 Younge & J. 1"
#UNRESOLVED	801	"t."	"000\n\t\t\tt. 2"
#UNRESOLVED	800	"Eden, R."	"09 Eden, R. 81"
#UNRESOLVED	800	"P.C."	"01 P.C. 609"
#UNRESOLVED	800	"Tau."	"0 Tau. 12"
#UNRESOLVED	799	"Ch. D. (C.A.)"	"0 Ch. D. (C.A.) 579"
#UNRESOLVED	799	"Corn. Ca."	"0 Corn. Ca. 217"
#UNRESOLVED	799	"S.C.R."	"0 S.C.R. 49"
#UNRESOLVED	799	"Vale"	"1 Vale 656"
#UNRESOLVED	799	"Wkly. Notes Cas."	"0 Wkly. Notes Cas. 100"
#UNRESOLVED	799	"shares of"	"000 shares of 0"
#UNRESOLVED	798	"N. Y. S. C."	"00 N. Y. S. C. 202"
#UNRESOLVED	798	"R. v."	"000 R. v., 8"
#UNRESOLVED	797	"L. J. N."	"0 L. J. N. 0"
#UNRESOLVED	797	"L. R. N. S."	"0 L. R. N. S. 40"
#UNRESOLVED	797	"P. Wmis."	"12 P. Wmis.\n\t\t\t6"
#UNRESOLVED	796	"L. J. (Q. n.)"	"00\n\t\t\tL. J. (Q. n.) 147"
#UNRESOLVED	795	"Sol. Jour."	"10 Sol. Jour. 910"
#UNRESOLVED	795	"Winstanley"	"Winstanley, 00"
#UNRESOLVED	794	"Chan. Ca."	"135 Chan. Ca., 85"
#UNRESOLVED	794	"Cruise Dig."	"02 Cruise Dig. 281"
#UNRESOLVED	793	"(Ind."	"000 (Ind. 1002"
#UNRESOLVED	793	"Ch. D., at p."	"10 Ch. D., at p. 100"
#UNRESOLVED	793	"Cr. App."	"0 Cr. App. 1"
#UNRESOLVED	790	"Ch"	"011 Ch, 1"
#UNRESOLVED	789	"Burgett"	"4 Burgett, 163"
#UNRESOLVED	789	"Inil."	"00 Inil. 157"
#UNRESOLVED	789	"On."	"00 On. 07"
#UNRESOLVED	789	"Ont. L. R."	"054 Ont. L. R. 137"
#UNRESOLVED	789	"S. Y."	"00 S. Y. 14"
#UNRESOLVED	788	"Cl. Div."	"0 Cl. Div. 403"
#UNRESOLVED	788	"Ep."	"06 Ep. 13"
#UNRESOLVED	788	"Times L.R."	"0 Times L.R. 286"
#UNRESOLVED	787	"(al."	"00 (al. 43"
#UNRESOLVED	787	"Q B. D."	"0 Q B. D. 345"
#UNRESOLVED	786	"Bank"	"000 Bank 3"
#UNRESOLVED	786	"L. It. Ir."	"0 L. It. Ir. 10"
#UNRESOLVED	786	"New Ca."	"10 New Ca. 0"
#UNRESOLVED	785	"Best & Smith"	"0 Best & Smith 201"
#UNRESOLVED	785	"Carte"	"227 Carte 7"
#UNRESOLVED	785	"Esp. Ca."	"10 Esp. Ca. 695"
#UNRESOLVED	784	"Index."	"003 Index.\n\t\t\t8"
#UNRESOLVED	784	"Ke."	"0 Ke. 566"
#UNRESOLVED	784	"Kingscote"	"Kingscote, 0"
#UNRESOLVED	784	"Ste. Corn."	"1 Ste. Corn. 13"
#UNRESOLVED	784	"lale"	"063 lale 2511"
#UNRESOLVED	783	"Iml."	"00 Iml. 107"
#UNRESOLVED	783	"Per. & Dav."	"10 Per. & Dav. 270"
#UNRESOLVED	782	"Ired. (N. C.) L."	"0 Ired. (N. C.) L. 104"
#UNRESOLVED	782	"Miln."	"01 Miln. 169"
#UNRESOLVED	782	"nn."	"000 nn. 85"
#UNRESOLVED	781	"Sirm."	"0 Sirm. 115"
#UNRESOLVED	780	". D."	"020 . D. 395"
#UNRESOLVED	780	"Amn. St. Rep."	"001 Amn. St. Rep. 365"
#UNRESOLVED	779	"Iy."	"00 Iy. 611"
#UNRESOLVED	779	"Scriv. Cop."	"17 Scriv. Cop. 355"
#UNRESOLVED	779	"Tucker."	"1 Tucker. 115"
#UNRESOLVED	778	"(Geo."	"0 (Geo. 1"
#UNRESOLVED	778	"Idem."	"00 Idem. 07"
#UNRESOLVED	777	"Aiken"	"106 Aiken 7"
#UNRESOLVED	777	"Coll. C. C."	"11 Coll. C. C. 542"
#UNRESOLVED	776	"Busby"	"118 Busby, 256"
#UNRESOLVED	776	"I. & S."	"06 I. & S. 257"
#UNRESOLVED	775	"(Err. & App."	"085 (Err. & App. 1916"
#UNRESOLVED	775	"L J."	"01 L J. 1"
#UNRESOLVED	775	"U. B."	"00 U. B. 80"
#UNRESOLVED	775	"Watk. on Cop."	"1 Watk. on Cop. 1"
#UNRESOLVED	774	"order"	"046 order, 1040"
#UNRESOLVED	774	"post."	"001 post. 1"
#UNRESOLVED	773	"Cih."	"021 Cih. 3"
#UNRESOLVED	772	"Co.."	"00\n\t\t\tCo.. 117"
#UNRESOLVED	772	"Den. C. C. R."	"11 Den. C. C. R. 310"
#UNRESOLVED	772	"Sess. Ca."	"11 Sess. Ca. 1"
#UNRESOLVED	772	"liar. & J."	"0 liar. & J. 128"
#UNRESOLVED	771	"Hardacre"	"Hardacre 1"
#UNRESOLVED	770	"Dru. & W."	"1 Dru. & W. 021"
#UNRESOLVED	770	"For"	"000 For 12"
#UNRESOLVED	770	"R S."	"109 R S. 1845"
#UNRESOLVED	770	"Rob. R."	"0 Rob. R. 127"
#UNRESOLVED	770	"WV. It."	"0 WV. It. 143"
#UNRESOLVED	769	".. P."	"00 .. P. 309"
#UNRESOLVED	768	"Baldwin."	"1 Baldwin. 13"
#UNRESOLVED	768	"L. .. Q. B."	"00 L. .. Q. B. 403"
#UNRESOLVED	768	"Montg."	"10 Montg. 105"
#UNRESOLVED	768	"W. Blac."	"1 W. Blac. 00"
#UNRESOLVED	767	"Bell, Comm."	"11 Bell, Comm. 373"
#UNRESOLVED	767	"Dowl. N."	"051 Dowl. N. 8"
#UNRESOLVED	767	"M.& W."	"0 M.& W. 127"
#UNRESOLVED	766	"Alderman"	"100 Alderman 1"
#UNRESOLVED	766	"Glyn & Jam."	"11 Glyn & Jam. 81"
#UNRESOLVED	765	"Sand. Us."	"1 Sand. Us.\n\t\t\t1"
#UNRESOLVED	765	"lep."	"06 lep. 17"
#UNRESOLVED	764	". & S."	"06 . & S. 282"
#UNRESOLVED	764	"Steph. Corn."	"11 Steph. Corn. 485"
#UNRESOLVED	764	"T ."	"000\n\t\t\tT . 3"
#UNRESOLVED	764	"U. C. (Q. B.)"	"0 U. C. (Q. B.) 319"
#UNRESOLVED	764	"notice of"	"00\n\t\t\tnotice of, 00"
#UNRESOLVED	763	"C. P. at p."	"0 C. P. at p. 22"
#UNRESOLVED	763	"Hardman"	"221 Hardman, 5"
#UNRESOLVED	763	"Pars. on Cont."	"112 Pars. on Cont. 2"
#UNRESOLVED	763	"Show"	"1 Show, 03"
#UNRESOLVED	762	"S. and T."	"1 S. and T. 0"
#UNRESOLVED	761	"AI. & W."	"0 AI. & W. 109"
#UNRESOLVED	761	"App. Cns."	"011 App. Cns. 240"
#UNRESOLVED	761	"Ch. (C. A.)"	"16 Ch. (C. A.) 149"
#UNRESOLVED	761	"Mad. Rep."	"0 Mad. Rep. 108"
#UNRESOLVED	761	"Sill."	"00 Sill. 8"
#UNRESOLVED	760	"Cromp. M. & R."	"1 Cromp. M. & R. 108"
#UNRESOLVED	759	"Allegheny"	"2 Allegheny 40"
#UNRESOLVED	759	"E. ."	"04 E. . 1285"
#UNRESOLVED	758	"Durn. & E."	"0 Durn. & E. 522"
#UNRESOLVED	758	"Es."	"075 Es. 9"
#UNRESOLVED	758	"L. J. Ch"	"00 L. J. Ch, 362"
#UNRESOLVED	757	"Ad. & Ellis"	"0 Ad. & Ellis, 180"
#UNRESOLVED	757	"Grey"	"0 Grey 146"
#UNRESOLVED	757	"Keen, R."	"1 Keen, R. 03"
#UNRESOLVED	757	"L. . Ch."	"01 L. . Ch. 15"
#UNRESOLVED	757	"N. of C."	"0 N. of C. 279"
#UNRESOLVED	756	"A. & E"	"0 A. & E\n\t\t\t17"
#UNRESOLVED	756	"Am. Jur."	"0 Am. Jur. 200"
#UNRESOLVED	756	"Grant Cas."	"1 Grant Cas. 1"
#UNRESOLVED	755	"Chan. Cas."	"1 Chan. Cas. 08"
#UNRESOLVED	755	"Co"	"005 Co, 1"
#UNRESOLVED	755	"East. Rep."	"0 East. Rep., 008"
#UNRESOLVED	754	"id"	"02 id,, 427"
#UNRESOLVED	753	"Q. IB."	"0 Q. IB. 1"
#UNRESOLVED	752	"Corn. B., N. S."	"10 Corn. B., N. S. 103"
#UNRESOLVED	752	"Div."	"000 Div. 882"
#UNRESOLVED	751	"EDW."	"0 EDW. 7"
#UNRESOLVED	751	"Rot. Parl."	"0 Rot. Parl. 1"
#UNRESOLVED	751	"St. C."	"17 St. C. 950"
#UNRESOLVED	750	"Alleyn"	"1 Alleyn, 72"
#UNRESOLVED	749	"Coon."	"00 Coon. 178"
#UNRESOLVED	749	"Cro.Jac."	"0 Cro.Jac. 318"
#UNRESOLVED	749	"Pnige"	"0 Pnige, 102"
#UNRESOLVED	749	"Scott, N."	"0 Scott, N. 1"
#UNRESOLVED	748	"M. p."	"105 M. p. 5"
#UNRESOLVED	747	"Am. )ec."	"00 Am. )ec. 172"
#UNRESOLVED	747	"Camnp."	"1 Camnp. 00"
#UNRESOLVED	747	"Halsted"	"12 Halsted, 244"
#UNRESOLVED	747	"Westley"	"8 Westley, 11"
#UNRESOLVED	747	"Wooddes. Lect."	"12 Wooddes. Lect. 59"
#UNRESOLVED	746	"Edwin"	"00 Edwin 8"
#UNRESOLVED	746	"Rose."	"12 Rose. 588"
#UNRESOLVED	745	"East Rep."	"039 East Rep. 173"
#UNRESOLVED	745	"Iick."	"0 Iick. 200"
#UNRESOLVED	745	"It. ."	"07 It. . 5"
#UNRESOLVED	744	"Burrill"	"1 Burrill 1"
#UNRESOLVED	744	"Dick. R."	"12 Dick. R. 6"
#UNRESOLVED	744	"Jr."	"011 Jr., 138"
#UNRESOLVED	744	"Moo. P. C. N. S."	"0 Moo. P. C. N. S.\n\t\t\t484"
#UNRESOLVED	744	"R I."	"028 R I. 513"
#UNRESOLVED	744	"Snund."	"1 Snund. 1"
#UNRESOLVED	742	"Hawk. P."	"11 Hawk. P. 0"
#UNRESOLVED	741	"Ed. Ill."	"0 Ed. Ill. 23"
#UNRESOLVED	741	"Sin. L. C."	"1 Sin. L. C. 00"
#UNRESOLVED	740	"Stra"	"100\n\t\t\tStra, 1101"
#UNRESOLVED	739	"Ch. D"	"0 Ch. D 1"
#UNRESOLVED	739	"James"	"000 James 0"
#UNRESOLVED	739	"L. J. Prob."	"013 L. J. Prob. 108"
#UNRESOLVED	739	"Morris"	"003 Morris, 473"
#UNRESOLVED	738	"Hardesty"	"1 Hardesty 12"
#UNRESOLVED	737	"Am. ed."	"0 Am. ed. 189"
#UNRESOLVED	737	"Pars. Cont."	"023 Pars. Cont. 167"
#UNRESOLVED	737	"Toul."	"10 Toul. 107"
#UNRESOLVED	737	"it"	"000 it, 6"
#UNRESOLVED	736	"B. & Cress."	"0 B. & Cress. 181"
#UNRESOLVED	736	"Ch. (C.A.)"	"113 Ch. (C.A.) 82"
#UNRESOLVED	736	"Clifford"	"047 Clifford, 2"
#UNRESOLVED	736	"Hutt"	"11 Hutt, 2"
#UNRESOLVED	736	"Ld."	"036 Ld. 93"
#UNRESOLVED	736	"Rob. Adm. Rep."	"1 Rob. Adm. Rep. 1"
#UNRESOLVED	736	"S. L. C."	"12 S. L. C. 348"
#UNRESOLVED	736	"Turn."	"16 Turn. 87"
#UNRESOLVED	735	"Jur. N. Y."	"0 Jur. N. Y. 043"
#UNRESOLVED	735	"Modern"	"012 Modern 559"
#UNRESOLVED	734	"Dudman"	"078 Dudman, 4"
#UNRESOLVED	734	"IL. T."	"001 IL. T. 714"
#UNRESOLVED	733	"Above"	"000 Above 1"
#UNRESOLVED	733	"Albion"	"100 Albion, 3"
#UNRESOLVED	733	"Bld."	"00 Bld. 4"
#UNRESOLVED	733	"Camnpb."	"1 Camnpb. 1"
#UNRESOLVED	733	"Spence, Eq. Jur."	"11 Spence, Eq. Jur. 506"
#UNRESOLVED	733	"W. IV, c."	"0 W. IV, c. 38"
#UNRESOLVED	732	"Con. & L."	"1 Con. & L. 1"
#UNRESOLVED	732	"Davie"	"1 Davie, 1847"
#UNRESOLVED	732	"Pen."	"0 Pen. 148"
#UNRESOLVED	731	"H. H."	"10 H. H. 254"
#UNRESOLVED	731	"Jarman"	"11 Jarman, 4"
#UNRESOLVED	731	"Micb."	"02 Micb. 1"
#UNRESOLVED	730	"Brewster"	"000 Brewster 15"
#UNRESOLVED	730	"Simons, R."	"0 Simons, R. 333"
#UNRESOLVED	729	"Sinl."	"0 Sinl. 11"
#UNRESOLVED	728	"Chit. Cr. Law"	"01 Chit. Cr. Law, 283"
#UNRESOLVED	728	"Hetherington"	"250 Hetherington 7"
#UNRESOLVED	728	"I. J. Ch."	"01 I. J. Ch. 510"
#UNRESOLVED	728	"Ves. and Bea."	"11 Ves. and Bea. 11"
#UNRESOLVED	727	"B. & Beatt."	"1 B. &\n\t\t\tBeatt. 141"
#UNRESOLVED	727	"W. & M. sess."	"1 W. & M.\n\t\t\tsess. 1"
#UNRESOLVED	727	"oz."	"02 oz. 7"
#UNRESOLVED	726	",. T."	"011 ,. T. 1"
#UNRESOLVED	726	"Dow. & R."	"0 Dow. & R. 248"
#UNRESOLVED	726	"Modl."	"01 Modl. 9"
#UNRESOLVED	724	"ass."	"003 ass. 255"
#UNRESOLVED	723	"Byles, Bills"	"02 Byles, Bills, 149"
#UNRESOLVED	722	"Cla. & Fin."	"0 Cla. & Fin. 1"
#UNRESOLVED	722	"Oal."	"00 Oal. 202"
#UNRESOLVED	721	"Iling."	"0 Iling. 141"
#UNRESOLVED	720	". L."	"000 . L. 117"
#UNRESOLVED	720	"Ja."	"00 Ja. 718"
#UNRESOLVED	720	"L"	"000 L\n\t\t\t1684"
#UNRESOLVED	720	"N. B. It."	"0 N. B. It. 103"
#UNRESOLVED	720	"W. P."	"0 W. P. 1350"
#UNRESOLVED	720	"proof of"	"014 proof of, 316"
#UNRESOLVED	719	"Hlare"	"0 Hlare, 196"
#UNRESOLVED	719	"Term. R."	"15 Term. R. 153"
#UNRESOLVED	718	"Bankruptcy Act"	"00 Bankruptcy Act 1898"
#UNRESOLVED	718	"Chand. (Wis.)"	"1 Chand. (Wis.) 0"
#UNRESOLVED	718	"Hare."	"10 Hare. 1"
#UNRESOLVED	717	"Hen. V. c."	"14 Hen. V. c. 1"
#UNRESOLVED	716	"Little."	"020 Little. 1"
#UNRESOLVED	715	"Blac."	"10 Blac. 133"
#UNRESOLVED	715	"Gill & Johnson"	"0 Gill & Johnson, 180"
#UNRESOLVED	715	"Kent, Coin."	"12 Kent, Coin., 547"
#UNRESOLVED	715	"Phillipps"	"1 Phillipps 10"
#UNRESOLVED	715	"W. H."	"0 W. H. 348"
#UNRESOLVED	713	"& C."	"011 & C. 7110"
#UNRESOLVED	713	"Ventris"	"11 Ventris 28"
#UNRESOLVED	713	"Woodd."	"1 Woodd.\n\t\t\t111"
#UNRESOLVED	712	"C. C. n. s."	"0 C. C. n. s. 103"
#UNRESOLVED	712	"Prec. Chanc."	"0 Prec. Chanc. 323"
#UNRESOLVED	712	"form"	"00\n\t\t\tform, 530"
#UNRESOLVED	712	"p.m."	"00 p.m. 10"
#UNRESOLVED	711	"An. c."	"0 An. c. 19"
#UNRESOLVED	711	"Burney"	"1 Burney, 601"
#UNRESOLVED	711	"Q. n."	"0 Q. n. 1"
#UNRESOLVED	709	"B. and Aid."	"11 B. and Aid. 423"
#UNRESOLVED	709	"Cro. Eliz"	"006 Cro. Eliz 331"
#UNRESOLVED	709	"L. J. Bkcy."	"10 L. J. Bkcy. 67"
#UNRESOLVED	708	"English"	"000 English, 25"
#UNRESOLVED	707	"(U. S. Comp. St."	"005 (U. S. Comp. St. 1901"
#UNRESOLVED	707	"Ala. (N. S.)"	"0 Ala. (N. S.) 327"
#UNRESOLVED	707	"Asp. M."	"0 Asp. M. 0"
#UNRESOLVED	707	"C.&P."	"0 C.&P. 10"
#UNRESOLVED	706	"Bendl."	"0 Bendl. 180"
#UNRESOLVED	706	"Burn. Eccl. L."	"1 Burn. Eccl. L. 148"
#UNRESOLVED	706	"L. J. (N. S.)"	"00 L. J. (N. S.) 427"
#UNRESOLVED	706	"is."	"019\n\t\t\tis. 528"
#UNRESOLVED	705	"IT."	"001 IT. 280"
#UNRESOLVED	704	"Bing., N. C."	"0 Bing., N. C. 102"
#UNRESOLVED	704	"Cowon"	"0 Cowon, 005"
#UNRESOLVED	704	"R. R. R."	"0 R. R. R. 318"
#UNRESOLVED	704	"ton"	"000\n\t\t\tton 0"
#UNRESOLVED	703	"Anm. Rep."	"0 Anm. Rep. 141"
#UNRESOLVED	702	"M. D. & De G."	"1 M. D. & De G. 031"
#UNRESOLVED	702	"Me"	"00 Me, 408"
#UNRESOLVED	702	"Vorn."	"11 Vorn. 23"
#UNRESOLVED	700	"P. ."	"00 P. . 3"
#UNRESOLVED	699	"Q. B. D., at p."	"0 Q. B. D., at p. 302"
#UNRESOLVED	699	"Sellon"	"18 Sellon, 421"
#UNRESOLVED	699	"Weekly Notes"	"00 Weekly Notes, 24"
#UNRESOLVED	698	"Hobby"	"595 Hobby, 1"
#UNRESOLVED	697	"Cr. &"	"10 Cr. & 1"
#UNRESOLVED	697	"Idl."	"01 Idl. 255"
#UNRESOLVED	694	"Burleigh"	"11 Burleigh, 454"
#UNRESOLVED	694	"D. L. R."	"00 D. L. R. 130"
#UNRESOLVED	694	"Exchequer"	"009 Exchequer, 968"
#UNRESOLVED	693	"North."	"0 North. 0"
#UNRESOLVED	693	"Siln."	"0 Siln. 210"
#UNRESOLVED	692	"Am. I)ec."	"01 Am. I)ec. 3"
#UNRESOLVED	690	"Story C. C."	"12 Story C. C. 502"
#UNRESOLVED	690	"defined"	"000 defined, 999"
#UNRESOLVED	689	"Yes. sen."	"16 Yes. sen. 434"
#UNRESOLVED	689	"months"	"010 months, 1910"
#UNRESOLVED	688	"Allard"	"10 Allard, 6"
#UNRESOLVED	687	"Fonbl. Eq."	"19 Fonbl. Eq. 3"
#UNRESOLVED	687	"S. & D."	"0 S. & D. 1067"
#UNRESOLVED	687	"W. Rep."	"010 W. Rep. 569"
#UNRESOLVED	685	"Allerton"	"109 Allerton, 66"
#UNRESOLVED	685	"Illustrations."	"000 Illustrations. 4"
#UNRESOLVED	685	"Jenkinson"	"015 Jenkinson 1969"
#UNRESOLVED	685	"Levinz"	"146 Levinz, 1"
#UNRESOLVED	685	"Mass. T. R."	"10 Mass. T. R. 105"
#UNRESOLVED	685	"edit."	"0 edit. 10"
#UNRESOLVED	684	"(chap."	"000 (chap. 48"
#UNRESOLVED	683	"Burling"	"295 Burling, 640"
#UNRESOLVED	683	"C. & R."	"00 C. & R. 1"
#UNRESOLVED	683	"IR."	"015 IR. 23"
#UNRESOLVED	683	"N. Y. Y."	"02 N. Y. Y. 250"
#UNRESOLVED	683	"Q, B."	"0 Q, B. 158"
#UNRESOLVED	682	". L. T. R."	"0 . L. T. R. 20"
#UNRESOLVED	682	"Bling."	"0 Bling. 089"
#UNRESOLVED	682	"Mo. & R."	"1 Mo. & R. 00"
#UNRESOLVED	682	"Moores"	"1 Moores 138"
#UNRESOLVED	682	"Nev. & Per."	"1 Nev. & Per. 0224"
#UNRESOLVED	682	"Parkman"	"129 Parkman, 8"
#UNRESOLVED	682	"St. Ev."	"12 St. Ev. 472"
#UNRESOLVED	681	"Alcott"	"Alcott, 0"
#UNRESOLVED	681	"St. Tri."	"0 St. Tri. 75"
#UNRESOLVED	681	"it was"	"035 it was 83"
#UNRESOLVED	680	"(Iowa"	"000 (Iowa, 1910"
#UNRESOLVED	679	"Ex. Rep."	"0 Ex. Rep. 14"
#UNRESOLVED	679	"Tayleur"	"189\n\t\t\tTayleur, 591"
#UNRESOLVED	678	"N. Ii."	"01 N. Ii. 2"
#UNRESOLVED	677	"Alcorn"	"988 Alcorn, 150"
#UNRESOLVED	677	"Burlingame"	"42\n\t\t\tBurlingame, 7"
#UNRESOLVED	676	"Buss."	"1 Buss. 0"
#UNRESOLVED	676	"L. R. Ex."	"10 L. R. Ex. 05"
#UNRESOLVED	676	"P. C. R."	"0 P. C. R. 1"
#UNRESOLVED	675	"(C. A.)."	"004 (C. A.). 4"
#UNRESOLVED	675	"Ga"	"00 Ga, 47"
#UNRESOLVED	675	"H. L"	"0 H. L 1"
#UNRESOLVED	675	"Hardie"	"145 Hardie 8"
#UNRESOLVED	675	"Saunders"	"022 Saunders 677"
#UNRESOLVED	675	"Savory"	"441 Savory 82"
#UNRESOLVED	675	"same"	"000 same\n\t\t\t1"
#UNRESOLVED	674	"Ia. St."	"03 Ia. St. 271"
#UNRESOLVED	674	"Sim. (N. S.)"	"10 Sim.\n\t\t\t(N. S.) 85"
#UNRESOLVED	674	"Tayloe"	"30 Tayloe, 9"
#UNRESOLVED	673	"(Laws of"	"000 (Laws of 1005"
#UNRESOLVED	673	"Bul."	"01 Bul. 249"
#UNRESOLVED	673	"Pn."	"00 Pn. 138"
#UNRESOLVED	672	"Dea. and Ch."	"1 Dea. and Ch. 1"
#UNRESOLVED	672	"Jacks"	"2 Jacks, 2"
#UNRESOLVED	672	"law"	"000 law\n\t\t\t192"
#UNRESOLVED	671	"Q . B."	"0 Q . B. 1"
#UNRESOLVED	671	"Westmore"	"354 Westmore 797"
#UNRESOLVED	670	"Burglary"	"04 Burglary, 606"
#UNRESOLVED	670	"Id. p."	"000 Id. p. 450"
#UNRESOLVED	670	"Littel"	"016 Littel 1341"
#UNRESOLVED	670	"Scammon"	"12 Scammon, 326"
#UNRESOLVED	668	"L. .."	"02 L. .. 1"
#UNRESOLVED	667	"Curt. Ec."	"1 Curt. Ec. 002"
#UNRESOLVED	667	"Gas J."	"00 Gas J. 180"
#UNRESOLVED	667	"Reports"	"00 Reports 1"
#UNRESOLVED	666	"Int. Cor. Rep."	"11 Int. Cor. Rep. 438"
#UNRESOLVED	666	"R. S., c."	"02 R. S., c. 82"
#UNRESOLVED	665	"Ci. D."	"0 Ci. D. 447"
#UNRESOLVED	665	"Exch. D."	"1 Exch. D. 1"
#UNRESOLVED	665	"T. T."	"00 T. T. 11"
#UNRESOLVED	664	"Anders."	"126 Anders. 192"
